Card#,Title,Artist,URL,Hashed Info,Youtube-Title,Year
37 ,Step by Step,New Kids On The Block,https://www.youtube.com/watch?v=ay6GjmiJTPM,3541fe56202faf024e72ea3e115792b37863a9c77b1189602ad34d9c2732384b,New Kids On The Block - Step By Step,1990 
38 ,Flashdance...What a Feeling,Irene Cara,https://www.youtube.com/watch?v=miax0Jpe5mA,f5c06579345ce311bae0326441b4beb2c0ff0833b4372577b97dada39cb1eafd,Flashdance • What a Feeling • Irene Cara,1983 
39 ,Solang man Träume noch leben kann,Münchener Freiheit,https://www.youtube.com/watch?v=segRjNr4Mf0,c56f18aaa743d6e9c2a19036c806648587ba3f44035fdde1a0641a81e6485c5b,Münchener Freiheit - So lang' man Traeume noch leben kann (Official Video),1991 
40 ,Bad Habits,Ed Sheeran,https://www.youtube.com/watch?v=Bms39BUQBFw,76d22539d939804835a0577ed94efb3652305f30c5816424db9a6234c83d7648,Ed Sheeran - Bad Habits [Official Lyric Video],2021 
41 ,Indianer,Pur,https://www.youtube.com/watch?v=_WfxKi2o8_A,965fe535f9ca7f82b10f8436d2791fb131bc9481936049b901a22cfd2da4769c,Indianer,2015 
42 ,It Must Have Been Love,Roxette,https://www.youtube.com/watch?v=k2C5TjS2sh4,51afce2b1c06a2b7c0a25884a729db9830f02b126b46fd6d508add2710e443c8,Roxette - It Must Have Been Love (Official Music Video),1990 
43 ,Nessaja,Peter Maffay,https://www.youtube.com/watch?v=mGKkMeVHt_0,775d98e0eeac11a1db1bbe391b75cdd78857c6c21ff4a29fd972d1a0133e3abb,Peter Maffay - Tabaluga oder die Reise zur Vernunft - Nessaja,1983 
44 ,I'm Outta Love,Anastacia,https://www.youtube.com/watch?v=TnOy6HEf7HU,858c23f5068137185d5756d520138e7869f602e7aeb8d527c46769d6bdc63b19,Anastacia - I'm Outta Love (PCM Stereo),1999 
45 ,Walk On the Wild Side,Lou Reed,https://www.youtube.com/watch?v=oG6fayQBm9w,f71128137aa6fe0483964046ce3694956a95808c7579103f2462ed82da2dc8c3,Lou Reed - Walk on the Wild Side (Official Audio),1972 
46 ,Ruby,Kaiser Chiefs,https://www.youtube.com/watch?v=qObzgUfCl28,71436960020f89b97a3f55a75c4cebb3bf6b897e02ab74f40db29848acb3cd86,Kaiser Chiefs - Ruby (Official Video),2007 
47 ,Love Is In The Air,John Paul Young,https://www.youtube.com/watch?v=NNC0kIzM1Fo,78dad3c104343ab157d07d58df5a2e9f4259194331305a46259b4289824af5d5,John Paul Young - Love Is In The Air (1978),1989 
48 ,Bring It All Back,S Club,https://www.youtube.com/watch?v=GLQ0biK-ZgA,8a862149adfbe39a27a1f851b198fa27d50f97537d94fdd5a070ecad2d496c06,S Club - Bring It All Back,1999 
49 ,Gonna Make You Sweat,C & C Music Factory,https://www.youtube.com/watch?v=LaTGrV58wec,d48a6e9bd3d4f5423ab3a547d12f2292fb3d67bd35ee4ee25d1c4d839716f398,Gonna Make You Sweat (Everybody Dance Now) (Official HD Video),1990 
50 ,Don't Stop The Music,Rihanna,https://www.youtube.com/watch?v=OfWIGJpOih8,db15e40523b7db717734f5e7b2c6dc5097fcd6aa77850125bda7d4bef4e35f55,Rihanna - Don't Stop The Music (Lyrics),2008 
51 ,It's Now or Never,Elvis Presley,https://www.youtube.com/watch?v=Uwelrtb8Oho,185b54c2ca9ac5e3ea886de47d991c824e76bd7c6551870661d87cb0c4dfc38f,Elvis Presley - It's Now or Never (Official Audio),2002 
52 ,Kings & Queens,Ava Max,https://www.youtube.com/watch?v=jH1RNk8954Q,86ffc1e627f228de25d441fdd43b1bb506602d5869891f3e1db7750d77d79825,Ava Max - Kings & Queens [Official Music Video],2020 
53 ,New Age,Marlon Roudette,https://www.youtube.com/watch?v=X5K6Drs2mXU,7d37e1f3332797106e5b810f13fcb45b5a30e503571ccc22d60ed838aacca5d2,Marlon Roudette - New Age [Official Video],2012 
54 ,Tainted Love,Soft Cell,https://www.youtube.com/watch?v=XZVpR3Pk-r8,becbf5050f2e827460dcf69e5b6c0ca4ab8986f4ee70d40ffd1183b13cda3a62,Soft Cell - Tainted Love (Official Music Video),1981 
55 ,Marie der letzte Tanz ist nur für dich,Rex Gildo,https://www.youtube.com/watch?v=zidX45Qgs2g,e68746374f94defbc6bd1f7af47fd6ad0388a00c68d937ac7bf4a52212069b98,Rex Gildo - Marie Der Letzte Tanz Ist Nur Fur Dich,1974 
56 ,Say It Right,Nelly Furtado,https://www.youtube.com/watch?v=w4SwtMaAYak,f11fafa0f8ccbf20ef9c8139c327687629c9ae35d9d1bb856eb4492bbe1e9865,Nelly Furtado - Say It Right (Lyrics),2006 
57 ,Back for Good,Take That,https://www.youtube.com/watch?v=N2ICtCO8TCw,92fa212fba71ce8181419ca40ca0c5c9f9405aac25abe25f95b711daeb014fd5,Take That - Back for Good (Official Video),1995 
58 ,Shake It Off,Taylor Swift,https://www.youtube.com/watch?v=nfWlot6h_JM,257b398604d6195f01db10513216df89f6ab6dd1bbc8c0b4a078f269372d11bd,Taylor Swift - Shake It Off,2014 
59 ,How Will I Know (Who You Are),Jessica Folcker,https://www.youtube.com/watch?v=5sJ4oxGDqzQ,cf427acab355d70a5f22c3a39a6426577dbbf1a576995033da95f640374fdeba,How Will I Know (Who You Are),1998 
60 ,Marvin Gaye (feat. Meghan Trainor),Charlie Puth Meghan Trainor,https://www.youtube.com/watch?v=4hC0jy2HtZ4,33a5615658d4a1270470bc76b7920d0a2856ab243fb06318c5524afbb3b7cfb3,Charlie Puth: Marvin Gaye ( Audio ),2016 
61 ,Hotel California - 2013 Remaster,Eagles,https://www.youtube.com/watch?v=BciS5krYL80,aef08fbc03eb9fd6757402c8b0aea669776b5a4838a09d91f9a1956b1e6d8e84,Hotel California (2013 Remaster),1976 
62 ,Komm gib mir deine Hand,Tony Marshall,https://www.youtube.com/watch?v=If40-PyRyxA,96a466eebb3df8b349e8eb103948c9d032d0468e20ffed456d2ceb3ac4fd71e7,Komm gib mir deine Hand,2021 
63 ,Schickeria,Spider Murphy Gang,https://www.youtube.com/watch?v=trACvDCJCyA,4ecd80a4f591f66fa1743329006494c091e84dc0f5ff25434c1c273fef7516ad,Schickeria (Remastered 2007),1981 
64 ,Ja ja die Katja die hat ja,Heino,https://www.youtube.com/watch?v=DJnaeEZS3go,40cd4c591199ceaeb35b26b25b938ef4af3d0b4238ac88e5c51e97f84ea051d1,"Ja, ja, die Katja, die hat ja",2013 
65 ,Als wär's das erste Mal,Unheilig,https://www.youtube.com/watch?v=HPzDDMh4BNo,08194312f371b13679790288fdf8bc450e50305cbbe8d47a1f7fb711f6a53aa4,Unheilig - Als wär's das erste Mal (Official Video),2014 
66 ,Amazing,INNA,https://www.youtube.com/watch?v=gKHe12T6GMY,5aa1bd4b6cebe9132b9e736bcd9e9ea0a857cfcac3733e4777bbe7f9f921cea0,INNA - Amazing (Official Video),2010 
67 ,Bye Bye Bye,NSYNC,https://www.youtube.com/watch?v=C27NShgTQE4,e06fde0a1eb9ceda207c4c4009a71465976a36ca552c2f790b03447ac24d002b,*NSYNC - Bye Bye Bye (Official Audio),2000 
68 ,Baby Baby,Amy Grant,https://www.youtube.com/watch?v=vMXuuYnoRdI,b59c8e66136fdeead01bd891a02b305a340715723dbb47db4e1f8a8ec86175d4,"Amy Grant - Baby, Baby",1991 
69 ,Sexbomb,Tom Jones Mousse T,https://www.youtube.com/watch?v=WZ32gSLNHfA,ae7c072748ece78044890fab28bb2e1729e3d55ff6fe59233ba9853a07cbd2dd,Tom Jones & Mousse T  - Sexbomb (Official Music Video),1999 
